,revenue
528085,0
741067,0
497582,0
337401,57000000
724989,0
694919,0
721656,0
697064,0
592350,29900850
718444,139757
660982,0
734309,0
539885,152812
581392,35878266
438396,0
475430,0
606234,0
721452,0
605116,0
677638,0
621870,0
617505,0
532067,0
726739,0
495764,201858461
722603,0
475557,1074251311
594328,0
746957,0
547016,0
667141,0
715658,0
38700,419074646
385103,9430580
703134,0
632618,0
635302,0
446893,1946164
611395,0
601165,0
531499,0
572154,0
454626,306766470
603119,0
516486,0
601844,0
664767,0
474350,473093228
613504,0
338762,30234182
508439,103181419
643550,0
631132,0
425001,8982106
738215,0
655431,0
704630,0
489326,106270
713825,0
568160,186965409
611605,0
330457,1450026933
347201,0
735110,0
505262,31478826
732713,0
716258,0
493065,0
666750,0
440249,0
590223,0
709621,0
640882,0
317442,0
715123,0
604578,0
420634,0
671145,0
619592,215668
354912,800526015
512200,796575993
372058,357986087
545609,0
299536,2046239637
531876,0
384018,760098996
530915,374733942
87436,21660
514207,32104054
744676,0
703771,0
741998,0
429617,1131927996
597398,7200
299534,2797800564
736509,0
746180,0
567006,0
616803,0
618354,0
737802,0
609202,0
560204,0
290859,261119292
613200,0
520763,0
208763,34592118
458156,326709727
301528,1073394593
583083,0
581387,0
718867,0
673595,0
413518,17133446
667520,0
420818,1656943394
594530,0
420809,491570967
565840,0
582306,0
701175,0
481084,203044905
468816,0
509967,0
10226,6291958
193726,7171
448119,245692007
680028,0
412117,155152550
720395,0
11838,325680
702936,0
508570,0
454640,131359052
443791,40882928
453405,173469516
181812,1074144248
582218,0
627290,4
338967,122801777
554311,0
579583,0
743227,0
447404,433005346
680295,0
586334,0
501979,0
631939,0
539140,0
659986,225374
378064,30156463
335983,855013954
404368,529221154
530723,0
400160,4700000
537915,69497587
679796,0
479259,0
743601,0
624963,0
324857,375540831
499932,0
459151,0
553835,0
567971,0
420817,1047612394
721138,0
417466,0
399579,404852543
577922,333900000
526973,0
706503,0
621013,0
303857,61768190
340102,43724804
597156,0
296065,0
333339,582890172
611914,0
575094,1940234
339095,0
412546,0
118406,17322136
461130,157209
554022,0
373571,386600138
636891,0
400155,100176000
360920,508575295
346364,701796444
383498,741547413
662334,0
345940,530243742
559937,0
592834,4418501
723072,0
458576,0
530079,0
481848,107604626
522938,91490353
594084,0
9666,0
703155,0
605499,0
248781,0
691812,0
687149,0
532321,0
299537,1128276090
561974,0
320288,252442974
578189,0
458897,73279888
75624,0
553839,0
431693,171616764
671,976475550
423204,146661977
581600,0
599521,0
496243,257591776
287947,363533271
499701,116826172
274855,221600160
431580,111615070
699046,0
531299,0
668742,14871307
516052,0
166428,517526875
661677,0
700995,0
476292,0
652722,0
284054,1346739107
466622,0
520901,0
627879,0
552687,0
733491,0
505225,0
522444,0
674,895921036
484664,0
618344,0
570269,0
309013,0
673,789804554
315635,880166924
484641,31329947
614208,0
623634,0
284053,853977126
1683,62771059
500916,0
351286,1303459585
489245,0
612706,0
431819,26617621
634524,0
413594,20725409
704264,0
537061,0
283566,0
346910,160542134
293660,783100000
366170,1015339
556984,0
644090,0
623491,0
565743,0
617708,0
324786,175302354
560192,0
428045,0
689249,0
382748,0
214756,215863606
50723,0
359724,225508210
698410,0
738542,0
297762,821847012
472516,0
659067,0
347548,0
141052,657924295
726664,0
666219,0
22787,17976667
656690,0
433945,0
584044,0
550440,0
614696,13416285
260513,1242805359
122917,956019788
511987,89203432
695568,0
670266,0
618353,0
456740,44664690
663459,0
583132,5481562
522627,114996853
479455,252608480
385687,0
486589,5362776
672,876688482
284052,677700000
657561,0
316727,118587880
767,933959197
461083,0
503314,125002821
24428,1519557910
531219,0
560044,0
433422,0
740996,0
297802,1148461807
576393,0
353081,791017452
260514,383925276
335797,634151679
559957,0
606856,0
570503,0
198663,348319861
475215,27526961
335984,259239658
449924,0
553600,0
140300,521170825
506574,0
324552,171539887
552095,0
641790,0
587792,164000
480157,0
659991,0
556901,0
726940,0
442249,137056262
399363,0
559969,0
535292,47088457
647265,0
646150,0
571785,0
529203,0
524251,0
10439,39514713
445030,6000000
520725,0
424783,467989645
530157,0
20982,0
480530,214215889
466550,0
574982,2746207
364689,295038508
14836,124596398
610461,0
522518,2520000
610201,21200
514593,0
609242,0
675,938212738
398818,41063475
12444,954305868
363088,622674139
512895,0
268896,290061297
19995,2787965087
500840,0
402900,297718711
12445,1341511219
158015,89328627
427641,426245950
396535,87547518
9479,75634409
311056,0
636879,0
664168,0
49519,587204668
557940,0
135397,1671713208
176983,0
550231,0
239523,0
513045,22799033
504253,33748006
500922,0
36728,8084148
17581,0
661747,0
724475,0
99861,1405403694
638134,0
551238,0
263115,619021436
591237,0
595172,0
507569,0
574284,0
250574,0
7342,0
571627,11750306
471707,0
570508,0
378112,0
509853,3153
18861,0
630566,0
723895,0
653247,0
571891,26654184
216015,571006128
585244,0
342470,0
177572,657827828
128748,0
10674,304320254
448441,0
674942,0
348893,0
270946,373552094
600348,0
557,821708551
157336,675120017
513584,0
808,484409218
597,2187463944
9552,441306145
690369,0
3933,117195061
337339,1238764765
554596,0
447200,292351275
8966,393616788
14337,545436
508664,2078370
637157,0
289239,0
599845,0
521029,231252591
429471,5958315
618355,0
68726,407602906
524047,163894
458305,427399
11850,24946533
10012,19294901
346709,0
737799,0
399360,35808437
501953,0
260346,325771424
428078,83672673
480042,18
240832,458863600
703745,0
362585,0
109445,1274219009
450465,246941965
129,274925095
547017,124318
565426,0
615115,0
102382,708962323
583306,0
50620,829000000
582885,0
331482,191540586
87101,440603537
695596,0
617,67200000
575813,0
462883,0
648337,0
514439,0
378236,216909830
575447,0
718100,0
374205,66207073
465929,0
564251,0
1699,0
559519,0
184315,244819862
138843,319494638
109418,247022278
601980,0
527641,0
338952,653355901
610290,0
126889,232380243
131631,752100229
514921,0
464052,0
282070,0
50619,712171856
447332,340677200
539892,333593
504631,0
106646,392000694
155,1004558444
315465,490643
412383,0
615774,0
182560,208588
228150,211817906
271110,1153296293
9431,5600000
707886,0
11,775398007
862,373554033
533535,0
214553,0
526019,26925979
9637,275650703
566397,0
637920,19289062
95963,0
549787,0
675490,0
283995,863756051
441168,0
24021,698491347
238636,111928365
364111,0
504949,0
136799,346864462
603692,0
439079,365550119
710717,0
35,527068851
615982,0
537055,0
560964,0
339403,226945087
742055,0
442062,92503612
211755,0
638566,0
429422,0
246655,543934787
809,928760770
12104,22244207
550988,0
41505,851517
485811,0
353486,962102237
681711,0
38365,271430189
336843,288175335
720998,0
220289,102617
283366,296482446
76341,378858340
259693,320392818
269149,1023784195
656563,0
282069,0
400650,348807090
559,890871626
438650,59213931
716799,0
515001,82468705
9613,0
424694,894027543
641228,0
545330,0
445651,41142379
22881,309208309
626393,0
623926,0
2105,235483004
460399,1822043
721328,0
454983,0
298618,0
34433,0
1726,585174222
405882,0
293167,566652812
302699,216972543
4488,59754601
586954,4983582
18785,469310836
296096,207945075
209112,873634919
429415,0
337167,368307760
1698,0
