,popularity,genre_ids,revenue,12,16,14,9648,35,878,28,10770,10402,10752,27,53,37,36,99,18,10749,10751,80
0,933.926,"[28, 12, 18, 14]",57000000.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1,743.31,[28],139757.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,677.443,"[28, 80, 18, 53]",152812.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
3,648.896,"[28, 27, 53]",35878266.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
4,647.68,"[28, 16]",29900850.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5,438.78,"[14, 27]",473093228.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6,386.425,"[28, 35, 80]",201858461.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
7,366.733,"[80, 18, 53]",1074251311.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
8,343.061,"[28, 80, 53]",419074646.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
9,341.004,"[12, 16, 35, 10751]",9430580.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10,334.004,"[12, 16, 35, 14, 10402, 10751]",1946164.0,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
11,332.87,"[35, 18, 10751]",8982106.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
12,329.978,"[28, 35, 878, 10751]",306766470.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False
13,298.758,"[12, 16, 35, 14, 10751]",103181419.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14,282.8590000000001,"[28, 878]",30234182.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
15,277.421,"[16, 10751, 12, 35, 14]",1450026933.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16,269.965,"[28, 14, 53]",106270.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
17,230.21900000000002,"[12, 16, 35, 14, 10751]",800526015.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
18,224.795,"[16, 18, 14, 10749]",186965409.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
19,221.32,"[28, 80, 18]",215668.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
20,219.49200000000002,"[28, 12, 878]",2046239637.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
21,215.607,"[12, 35, 14]",796575993.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,214.415,"[28, 12, 16, 35, 14]",31478826.0,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
23,214.084,"[18, 10752]",374733942.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
24,214.02700000000002,"[28, 12, 35]",760098996.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
25,207.82,[878],32104054.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,192.696,"[28, 12, 878]",1131927996.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
27,192.576,"[28, 12, 878]",261119292.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
28,189.605,"[28, 12, 878]",2797800564.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
29,188.405,[27],21660.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,188.32,"[16, 18, 10749]",357986087.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
31,175.83900000000003,"[12, 16, 14]",7200.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,175.00099999999995,"[12, 16, 35, 14, 10751]",1073394593.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
33,174.136,"[12, 14, 10751]",491570967.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34,170.96400000000003,"[12, 18, 14, 10751]",17133446.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35,167.84599999999998,"[12, 14, 27, 9648, 878, 53]",34592118.0,True,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
36,166.56900000000005,"[12, 16, 10402, 10751]",1656943394.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
37,164.975,"[16, 35, 14, 10751]",203044905.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
38,160.844,"[28, 878, 53]",221600160.0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
39,159.32,"[28, 80, 53]",326709727.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
40,157.516,"[12, 14, 10751]",976475550.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
41,155.825,"[12, 16, 35, 10751]",131359052.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42,154.756,"[28, 18, 878, 53]",173469516.0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False
43,152.168,"[28, 12, 878]",1074144248.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
44,148.69,"[12, 16, 35, 10751]",155152550.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45,148.031,"[18, 10749]",69497587.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
46,146.58,"[28, 12, 14]",433005346.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
47,144.50799999999995,"[12, 16, 35, 14, 10751]",4700000.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
48,142.841,"[28, 35, 27]",122801777.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
49,141.19299999999996,"[18, 36, 53]",104048.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
50,140.825,"[12, 16, 35, 10751]",529221154.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
51,138.783,"[12, 35, 14, 10751]",245692007.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
52,136.048,"[28, 12, 16, 35, 878]",375540831.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
53,135.378,"[28, 27, 878, 53]",40882928.0,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False
54,134.852,"[28, 12, 35]",741547413.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55,133.107,[27],325680.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
56,132.76,"[28, 12, 27, 878]",43724804.0,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
57,132.485,[27],4.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,130.582,"[12, 14, 10749, 10751]",1047612394.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
59,130.106,"[28, 878, 53]",333900000.0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
60,129.89,"[28, 878]",855013954.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
61,128.18,"[12, 14, 10751]",895921036.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
62,127.02799999999999,"[27, 9648, 53]",6291958.0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
63,126.979,"[28, 12, 878]",404852543.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
64,124.568,[27],7171.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
65,122.681,"[12, 14]",789804554.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,122.23700000000001,"[28, 18, 53]",91490353.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
67,121.898,[27],701796444.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
68,121.15899999999999,"[28, 12, 878]",1128276090.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
69,120.95299999999999,"[16, 18, 10749]",30156463.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
70,120.795,"[28, 878]",386600138.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
71,119.986,"[28, 80, 18, 878, 53]",157209.0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True
72,118.37700000000001,"[16, 35, 14, 10751]",508575295.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
73,116.54299999999999,"[12, 18, 10751]",107604626.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
74,115.49799999999999,"[28, 16, 878]",61768190.0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
75,112.619,"[28, 12, 878]",252442974.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
76,112.473,"[12, 35, 10751]",116826172.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
77,112.167,"[12, 14]",1940234.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,110.911,"[16, 35, 14, 10751]",100176000.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
79,109.10700000000001,"[28, 12, 18, 878]",880166924.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
80,108.81,"[28, 12, 16, 35]",171616764.0,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
81,107.037,"[28, 35, 14]",363533271.0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
82,106.525,"[28, 53]",146661977.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
